"Y","t.k","r.i","L","Env","MAXT","MINT","RAIN","HUMIDITY","SUNSH","G","Rep","Group","Yield","WIND"
"2001",2001,1980,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR10","1","Long",3.5,3.33713933691756
"2001",2001,1980,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR10","2","Long",3.75,3.33713933691756
"2001",2001,1980,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR10","3","Long",4.37,3.33713933691756
"2001",2001,1992,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR25","3","Medium",4.27,3.33713933691756
"2001",2001,1988,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR22","2","Long",4.19,3.33713933691756
"2001",2001,1994,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan30","2","Long",4.09,3.33713933691756
"2001",2001,1976,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR5","1","Long",2.62,3.33713933691756
"2001",2001,1994,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan30","1","Long",3.91,3.33713933691756
"2001",2001,1973,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR3","2","Long",2.08,3.33713933691756
"2001",2001,1988,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR23","2","Long",4.67,3.33713933691756
"2001",2001,1988,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR23","3","Long",4.85,3.33713933691756
"2001",2001,1994,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan31","1","Long",3.39,3.33713933691756
"2001",2001,1973,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BR3","1","Long",2.05,3.33713933691756
"2001",2001,1999,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan39","2","Medium",3.1,3.33713933691756
"2001",2001,1998,"BARISHAL","2001-BARISHAL",31.2057370071685,24.353767921147,1680,89.1497535842294,4.65751792114695,"BRRI dhan37","2","Long",2.23,3.33713933691756
